2025-05-14 09:07:21.639 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:20:38.595 | WARNING  | main:31 | ========== Aplicação encerrada ==========
2025-05-14 09:20:44.079 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:20:44.108 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:20:44.114 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 09:20:44.114 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 09:23:49.876 | WARNING  | main:31 | ========== Aplicação encerrada ==========
2025-05-14 09:23:55.257 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:23:55.286 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:23:55.294 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 09:23:55.294 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 09:25:36.834 | WARNING  | main:31 | ========== Aplicação encerrada ==========
2025-05-14 09:25:42.364 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:25:42.393 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:25:42.400 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 09:25:42.400 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 09:26:16.577 | WARNING  | main:31 | ========== Aplicação encerrada ==========
2025-05-14 09:26:21.985 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:26:22.014 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:26:22.021 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 09:26:22.021 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 09:31:18.270 | WARNING  | main:31 | ========== Aplicação encerrada ==========
2025-05-14 09:31:23.865 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:31:23.894 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:31:23.901 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 09:31:23.901 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 09:31:44.438 | WARNING  | main:31 | ========== Aplicação encerrada ==========
2025-05-14 09:31:49.827 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:31:49.855 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:31:49.863 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 09:31:49.863 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 09:33:42.635 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 09:33:42.635 | DEBUG    | classification.classifier:187 | Usando 1120 caracteres para classificação
2025-05-14 09:33:42.635 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1006 tokens estimados
2025-05-14 09:33:43.971 | SUCCESS  | classification.classifier:242 | Documento classificado como: Comprovante Bancário em 1.335s
2025-05-14 09:33:46.727 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo Comprovante Bancário
2025-05-14 09:33:47.978 | INFO     | api.routes:245 | Documento armazenado com ID: 59148b68-42cc-4d75-81dd-f55a8ab4edd6
2025-05-14 09:33:47.978 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:11.289046
2025-05-14 09:35:41.214 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 09:35:41.215 | DEBUG    | classification.classifier:187 | Usando 2000 caracteres para classificação
2025-05-14 09:35:41.215 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1226 tokens estimados
2025-05-14 09:35:42.242 | SUCCESS  | classification.classifier:242 | Documento classificado como: Contrato Social em 1.027s
2025-05-14 09:35:50.439 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo Contrato Social
2025-05-14 09:35:54.529 | INFO     | api.routes:245 | Documento armazenado com ID: 036d827c-2cd4-4dda-848b-f91b5981665d
2025-05-14 09:35:54.529 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:49.173604
2025-05-14 09:43:39.171 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 09:43:39.173 | DEBUG    | classification.classifier:187 | Usando 1828 caracteres para classificação
2025-05-14 09:43:39.175 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1183 tokens estimados
2025-05-14 09:43:40.742 | SUCCESS  | classification.classifier:242 | Documento classificado como: Nota Fiscal de Serviços Eletrônica em 1.566s
2025-05-14 09:43:48.265 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo Nota Fiscal de Serviços Eletrônica
2025-05-14 09:43:49.410 | INFO     | api.routes:245 | Documento armazenado com ID: b74a8c3d-81ce-4968-8764-b2776a0754aa
2025-05-14 09:43:49.411 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:12.597190
2025-05-14 09:44:41.436 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 09:44:41.436 | DEBUG    | classification.classifier:187 | Usando 2000 caracteres para classificação
2025-05-14 09:44:41.436 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1226 tokens estimados
2025-05-14 09:44:43.476 | SUCCESS  | classification.classifier:242 | Documento classificado como: CNH em 2.040s
2025-05-14 09:44:47.517 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo CNH
2025-05-14 09:44:48.045 | INFO     | api.routes:245 | Documento armazenado com ID: a0a6f730-df1d-4026-9f47-0cf15099c290
2025-05-14 09:44:48.045 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:23.969738
2025-05-14 10:25:57.929 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 10:25:57.937 | INFO     | __main__:60 | Iniciando servidor em 0.0.0.0:8000
2025-05-14 10:26:03.317 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 10:26:03.346 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 10:26:03.354 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 10:26:03.354 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 10:26:15.541 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 10:26:15.541 | DEBUG    | classification.classifier:187 | Usando 914 caracteres para classificação
2025-05-14 10:26:15.541 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 955 tokens estimados
2025-05-14 10:26:16.731 | SUCCESS  | classification.classifier:242 | Documento classificado como: CNH em 1.190s
2025-05-14 10:26:21.321 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo CNH
2025-05-14 10:26:24.704 | INFO     | api.routes:245 | Documento armazenado com ID: 34679a9a-957d-4cd7-851b-19023d57ee9c
2025-05-14 10:26:24.705 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:16.479381
2025-05-14 13:28:57.511 | WARNING  | main:31 | ========== Aplicação encerrada ==========
2025-05-14 13:29:44.361 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 13:29:44.392 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 13:29:44.399 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 13:29:44.399 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 13:35:37.042 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 13:35:37.095 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 13:35:37.108 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 13:35:37.109 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 13:38:27.149 | WARNING  | main:31 | ========== Aplicação encerrada ==========
2025-05-14 13:38:33.398 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 13:38:33.427 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 13:38:33.434 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 13:38:33.434 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 13:39:09.760 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 13:39:09.760 | DEBUG    | classification.classifier:187 | Usando 914 caracteres para classificação
2025-05-14 13:39:09.761 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 955 tokens estimados
2025-05-14 13:39:10.912 | SUCCESS  | classification.classifier:242 | Documento classificado como: CNH em 1.151s
2025-05-14 13:39:15.353 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo CNH
2025-05-14 13:39:16.060 | INFO     | api.routes:245 | Documento armazenado com ID: ea70be76-a250-4f8c-9334-8bb2f0488092
2025-05-14 13:39:16.060 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:13.160119
2025-05-14 13:40:19.004 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 13:40:19.005 | DEBUG    | classification.classifier:187 | Usando 2000 caracteres para classificação
2025-05-14 13:40:19.006 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1226 tokens estimados
2025-05-14 13:40:20.130 | SUCCESS  | classification.classifier:242 | Documento classificado como: Fatura Telefônica em 1.124s
2025-05-14 13:40:24.818 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo Fatura Telefônica
2025-05-14 13:40:25.814 | INFO     | api.routes:245 | Documento armazenado com ID: d008a97f-3653-43cb-a830-4d9686a4dcf3
2025-05-14 13:40:25.815 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:28.366915
2025-05-14 13:41:37.564 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 13:41:37.565 | DEBUG    | classification.classifier:187 | Usando 1828 caracteres para classificação
2025-05-14 13:41:37.565 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1183 tokens estimados
2025-05-14 13:41:41.216 | SUCCESS  | classification.classifier:242 | Documento classificado como: Nota Fiscal de Serviços Eletrônica em 3.650s
2025-05-14 13:41:51.217 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo Nota Fiscal de Serviços Eletrônica
2025-05-14 13:41:54.687 | INFO     | api.routes:245 | Documento armazenado com ID: 1559aeb0-12e7-4abd-9e78-8cbb24cf79f1
2025-05-14 13:41:54.688 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:18.281857
2025-05-14 13:42:13.659 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 13:42:13.660 | DEBUG    | classification.classifier:187 | Usando 1752 caracteres para classificação
2025-05-14 13:42:13.660 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1164 tokens estimados
2025-05-14 13:42:14.529 | SUCCESS  | classification.classifier:242 | Documento classificado como: Nota Fiscal de Serviços Eletrônica em 0.869s
2025-05-14 13:42:21.480 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo Nota Fiscal de Serviços Eletrônica
2025-05-14 13:42:22.334 | INFO     | api.routes:245 | Documento armazenado com ID: 35fef728-c1b5-4558-9d36-70b8fcf23227
2025-05-14 13:42:22.335 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:09.636098
2025-05-14 13:43:17.017 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 13:43:17.019 | DEBUG    | classification.classifier:187 | Usando 1841 caracteres para classificação
2025-05-14 13:43:17.021 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1187 tokens estimados
2025-05-14 13:43:17.980 | SUCCESS  | classification.classifier:242 | Documento classificado como: Cartão CNPJ em 0.959s
2025-05-14 13:43:24.247 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo Cartão CNPJ
2025-05-14 13:43:25.208 | INFO     | api.routes:245 | Documento armazenado com ID: 955cc950-9390-433c-b55e-3553702d02fa
2025-05-14 13:43:25.208 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:19.588247
2025-05-14 13:51:45.945 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 13:51:45.946 | DEBUG    | classification.classifier:187 | Usando 2000 caracteres para classificação
2025-05-14 13:51:45.948 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1226 tokens estimados
2025-05-14 13:51:47.012 | SUCCESS  | classification.classifier:242 | Documento classificado como: CNH em 1.063s
2025-05-14 13:51:51.608 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo CNH
2025-05-14 13:51:52.081 | INFO     | api.routes:245 | Documento armazenado com ID: dad02344-6b0b-46c3-b85b-22f9c801321b
2025-05-14 13:51:52.082 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:28.139286
2025-05-14 13:53:05.937 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 13:53:05.938 | DEBUG    | classification.classifier:187 | Usando 2000 caracteres para classificação
2025-05-14 13:53:05.939 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1226 tokens estimados
2025-05-14 13:53:06.923 | SUCCESS  | classification.classifier:242 | Documento classificado como: Fatura Telefônica em 0.983s
2025-05-14 13:53:12.976 | DEBUG    | api.routes:219 | Dados extraídos com sucesso para tipo Fatura Telefônica
2025-05-14 13:53:14.271 | INFO     | api.routes:245 | Documento armazenado com ID: 05349bd3-2374-4740-a2f7-55ea0ba4a0e6
2025-05-14 13:53:14.272 | SUCCESS  | api.routes:260 | Documento processado com sucesso em 0:00:37.062901
2025-05-14 14:07:07.296 | WARNING  | main:31 | ========== Aplicação encerrada ==========
2025-05-14 14:07:14.395 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 14:07:14.425 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 14:07:14.432 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 14:07:14.432 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 14:59:11.163 | SUCCESS  | utils.logging:117 | Sistema de logging unificado inicializado com sucesso!
2025-05-14 14:59:11.172 | INFO     | __main__:63 | Iniciando servidor em 0.0.0.0:8000
2025-05-14 14:59:17.462 | SUCCESS  | utils.logging:117 | Sistema de logging unificado inicializado com sucesso!
2025-05-14 14:59:17.473 | DEBUG    | logging:1706 | Using selector: KqueueSelector
2025-05-14 14:59:17.495 | SUCCESS  | utils.logging:117 | Sistema de logging unificado inicializado com sucesso!
2025-05-14 14:59:17.501 | INFO     | logging:1706 | Started server process [91611]
2025-05-14 14:59:17.501 | INFO     | logging:1706 | Waiting for application startup.
2025-05-14 14:59:17.502 | SUCCESS  | main:28 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 14:59:17.502 | INFO     | main:29 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 14:59:17.502 | INFO     | logging:1706 | Application startup complete.
2025-05-14 15:00:09.673 | DEBUG    | logging:1706 | Calling on_part_begin with no data
2025-05-14 15:00:09.673 | DEBUG    | logging:1706 | Calling on_header_field with data[42:61]
2025-05-14 15:00:09.673 | DEBUG    | logging:1706 | Calling on_header_value with data[63:140]
2025-05-14 15:00:09.673 | DEBUG    | logging:1706 | Calling on_header_end with no data
2025-05-14 15:00:09.673 | DEBUG    | logging:1706 | Calling on_header_field with data[142:154]
2025-05-14 15:00:09.674 | DEBUG    | logging:1706 | Calling on_header_value with data[156:166]
2025-05-14 15:00:09.674 | DEBUG    | logging:1706 | Calling on_header_end with no data
2025-05-14 15:00:09.674 | DEBUG    | logging:1706 | Calling on_headers_finished with no data
2025-05-14 15:00:09.674 | DEBUG    | logging:1706 | Calling on_part_data with data[170:177659]
2025-05-14 15:00:09.674 | DEBUG    | logging:1706 | Calling on_part_end with no data
2025-05-14 15:00:09.674 | DEBUG    | logging:1706 | Calling on_part_begin with no data
2025-05-14 15:00:09.674 | DEBUG    | logging:1706 | Calling on_header_field with data[177703:177722]
2025-05-14 15:00:09.674 | DEBUG    | logging:1706 | Calling on_header_value with data[177724:177752]
2025-05-14 15:00:09.674 | DEBUG    | logging:1706 | Calling on_header_end with no data
2025-05-14 15:00:09.674 | DEBUG    | logging:1706 | Calling on_headers_finished with no data
2025-05-14 15:00:09.674 | DEBUG    | logging:1706 | Calling on_part_end with no data
2025-05-14 15:00:09.675 | DEBUG    | logging:1706 | Calling on_end with no data
2025-05-14 15:00:09.676 | INFO     | utils.document_logging:89 | 🌐 API POST | Endpoint: /extract | ID: f3b416 | Documento: WhatsApp Image 2025-05-14 at 10.25.10.jpeg
2025-05-14 15:00:09.676 | INFO     | utils.document_logging:20 | 🔄 INÍCIO PROCESSAMENTO | ID: f3b416 | Documento: WhatsApp Image 2025-05-14 at 10.25.10.jpeg 
2025-05-14 15:00:09.676 | INFO     | utils.document_logging:20 | 🔄 INÍCIO PROCESSAMENTO | ID: 58e57a | Documento: WhatsApp Image 2025-05-14 at 10.25.10.jpeg | Tipo: jpeg
2025-05-14 15:00:09.676 | INFO     | ocr.document_processor:155 | Iniciando extração de texto | ID: 58e57a | Arquivo: WhatsApp Image 2025-05-14 at 10.25.10.jpeg | Tamanho: 173.3KB
2025-05-14 15:00:09.677 | INFO     | ocr.document_processor:534 | Analisando documento | ID: 024124 | Extensão: jpeg | Tamanho: 173.3KB
2025-05-14 15:00:09.691 | INFO     | ocr.document_processor:602 | Imagem analisada | ID: 024124 | Dimensões: 900x1600 | Qualidade: 0.72
2025-05-14 15:00:09.691 | INFO     | ocr.document_processor:623 | Documento analisado em 0.014s | ID: 024124 | Tipo: image | Qualidade: 0.725
2025-05-14 15:00:09.692 | DEBUG    | ocr.document_processor:171 | Arquivo temporário criado: /var/folders/yw/5nzky279361g2yr3y70jzrz40000gn/T/tmp82uhbn38.jpeg
2025-05-14 15:00:09.692 | DEBUG    | ocr.document_processor:739 | Qualidade suficiente, aplicando processamento leve | ID: 58e57a
2025-05-14 15:00:09.809 | INFO     | ocr.document_processor:180 | Pré-processamento de imagem concluído em 0.118s
2025-05-14 15:00:09.810 | INFO     | ocr.document_processor:189 | Priorizando Azure devido à Extensão prioritária para Azure (.jpeg)
2025-05-14 15:00:09.810 | WARNING  | utils.document_logging:35 | 🔵 AZURE API | ID: 58e57a | Documento: WhatsApp Image 2025-05-14 at 10.25.10.jpeg  | Serviço: Document Intelligence | Motivo: Extensão prioritária para Azure (.jpeg)
2025-05-14 15:00:09.810 | INFO     | ocr.document_processor:335 | Pulando Docling conforme configuração | ID: 58e57a
2025-05-14 15:00:09.810 | WARNING  | utils.document_logging:35 | 🔵 AZURE API | ID: 58e57a | Documento: WhatsApp Image 2025-05-14 at 10.25.10.jpeg  | Serviço: Document Intelligence 
2025-05-14 15:00:09.810 | INFO     | ocr.document_processor:642 | Iniciando extração com Azure | ID: 58e57a
2025-05-14 15:00:09.811 | INFO     | utils.azure_tracker:208 | 🔵 AZURE prebuilt-layout | sucesso | document_intelligence | Doc: 58e57a | 1 página(s) | 0.43MB | $0.0050
2025-05-14 15:00:09.812 | INFO     | logging:1706 | Request URL: 'https://back-to-back-lear.cognitiveservices.azure.com//documentintelligence/documentModels/prebuilt-layout:analyze?api-version=REDACTED'
Request method: 'POST'
Request headers:
    'Content-Length': '454668'
    'content-type': 'application/octet-stream'
    'Accept': 'application/json'
    'x-ms-client-request-id': 'a85ab12e-30f5-11f0-8148-0a263fac6c94'
    'User-Agent': 'azsdk-python-ai-documentintelligence/1.0.2 Python/3.11.12 (macOS-15.4.1-arm64-arm-64bit)'
    'Ocp-Apim-Subscription-Key': 'REDACTED'
A body is sent with the request
2025-05-14 15:00:09.817 | DEBUG    | logging:1706 | Starting new HTTPS connection (1): back-to-back-lear.cognitiveservices.azure.com:443
2025-05-14 15:00:12.419 | DEBUG    | logging:1706 | https://back-to-back-lear.cognitiveservices.azure.com:443 "POST /documentintelligence/documentModels/prebuilt-layout:analyze?api-version=2024-11-30 HTTP/1.1" 202 0
2025-05-14 15:00:12.425 | INFO     | logging:1706 | Response status: 202
Response headers:
    'Content-Length': '0'
    'Operation-Location': 'REDACTED'
    'x-envoy-upstream-service-time': 'REDACTED'
    'apim-request-id': 'REDACTED'
    'Strict-Transport-Security': 'REDACTED'
    'x-content-type-options': 'REDACTED'
    'x-ms-region': 'REDACTED'
    'Date': 'Wed, 14 May 2025 19:00:12 GMT'
2025-05-14 15:00:12.429 | INFO     | logging:1706 | Request URL: 'https://back-to-back-lear.cognitiveservices.azure.com/documentintelligence/documentModels/prebuilt-layout/analyzeResults/4fbd3d63-6e2e-4ac3-bd4e-2e7a5ddafe02?api-version=REDACTED'
Request method: 'GET'
Request headers:
    'x-ms-client-request-id': 'a85ab12e-30f5-11f0-8148-0a263fac6c94'
    'User-Agent': 'azsdk-python-ai-documentintelligence/1.0.2 Python/3.11.12 (macOS-15.4.1-arm64-arm-64bit)'
    'Ocp-Apim-Subscription-Key': 'REDACTED'
No body was attached to the request
2025-05-14 15:00:12.682 | DEBUG    | logging:1706 | https://back-to-back-lear.cognitiveservices.azure.com:443 "GET /documentintelligence/documentModels/prebuilt-layout/analyzeResults/4fbd3d63-6e2e-4ac3-bd4e-2e7a5ddafe02?api-version=2024-11-30 HTTP/1.1" 200 106
2025-05-14 15:00:12.683 | INFO     | logging:1706 | Response status: 200
Response headers:
    'Content-Length': '106'
    'Content-Type': 'application/json; charset=utf-8'
    'retry-after': '1'
    'x-envoy-upstream-service-time': 'REDACTED'
    'apim-request-id': 'REDACTED'
    'Strict-Transport-Security': 'REDACTED'
    'x-content-type-options': 'REDACTED'
    'x-ms-region': 'REDACTED'
    'Date': 'Wed, 14 May 2025 19:00:12 GMT'
2025-05-14 15:00:13.688 | INFO     | logging:1706 | Request URL: 'https://back-to-back-lear.cognitiveservices.azure.com/documentintelligence/documentModels/prebuilt-layout/analyzeResults/4fbd3d63-6e2e-4ac3-bd4e-2e7a5ddafe02?api-version=REDACTED'
Request method: 'GET'
Request headers:
    'x-ms-client-request-id': 'a85ab12e-30f5-11f0-8148-0a263fac6c94'
    'User-Agent': 'azsdk-python-ai-documentintelligence/1.0.2 Python/3.11.12 (macOS-15.4.1-arm64-arm-64bit)'
    'Ocp-Apim-Subscription-Key': 'REDACTED'
No body was attached to the request
